PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 8893, 516102, 4589814818
1, 10526, 449928, 4736154341
2, 9259, 505401, 4679691899
3, 9951, 473016, 4707416432
4, 10419, 454300, 4733438923
5, 10416, 455527, 4744883682
6, 9270, 494276, 4581938744
7, 9997, 463878, 4637467907
8, 10027, 464048, 4653181739
9, 10106, 459711, 4646219561
10, 10121, 457623, 4631903207
11, 10121, 459501, 4650679798
12, 10342, 442274, 4574269796
13, 8997, 515069, 4634106118
14, 10067, 456093, 4591653150
15, 9852, 467249, 4603600641
16, 10704, 431601, 4620227019
17, 10550, 432625, 4564409359
18, 10800, 429091, 4634406378
19, 10146, 456550, 4632538035
20, 9924, 467535, 4639833479
21, 9549, 478675, 4571168507
22, 10650, 429984, 4579347618
23, 10082, 453093, 4568239349
24, 9495, 481896, 4575744321
